training_step,reward
6017.24,-81.91691809259359
6054.2,-81.4808214115352
6087.88,-80.64152137063449
6124.28,-79.32912330675876
6159.88,-77.7608788425476
6189.0,-77.10195042293525
6215.92,-77.00999238196766
6248.44,-77.11772703912115
6267.52,-77.02892653685069
6299.96,-76.23616742100573
6339.92,-75.15773738946771
6360.84,-74.60643262457108
6394.88,-75.39460425909616
6420.84,-75.43244297336793
6447.04,-75.47847458895303
6475.0,-75.52080702479937
6508.44,-76.14706697914757
6540.28,-76.89335837546743
6568.48,-76.69755041185773
6607.96,-76.58473855499184
6638.84,-75.55592949304737
6667.2,-75.12149382177748
6700.36,-74.96516564156867
6728.72,-75.03287725623704
6753.4,-74.93129666950561
6790.6,-74.29138081725695
6820.96,-74.71805467922249
6843.32,-74.7610043201969
6889.04,-73.82478108990946
6916.96,-73.53300479549924
6962.76,-73.95172993261376
7002.68,-73.92250168327251
7030.2,-73.25756599358293
7072.44,-72.819095123252
7115.48,-72.76521672285172
7152.68,-72.43771108369353
7197.2,-71.71366384676666
7234.2,-71.60081482532443
7265.16,-71.0496687486303
7314.0,-70.88044683921159
7357.12,-70.12199867899538
7386.0,-69.79956681358637
7425.96,-68.99729293453515
7467.8,-68.28100458517679
7506.4,-67.27146912038334
7550.04,-65.47582798361788
7602.24,-64.10495180323727
7634.32,-63.99579107388861
7669.44,-63.33672641493388
7713.08,-62.12281031817206
